metric,fixed_effect_b_minus_a,se,ci95_lo,ci95_hi,p_value,n_obs,n_seeds,error,p_bh,sig_bh
pib_usd_mm,,,,,,160,10,Singular matrix,,
deuda_pib,,,,,,160,10,Singular matrix,,
pobreza_general,,,,,,160,10,Singular matrix,,
aprobacion_presidencial,5.584846554183571,0.9490521846230453,3.724704272322402,7.44498883604474,3.988804106765353e-09,160,10,,1.1966412320296058e-08,***
indice_protesta,-0.16152796177629689,0.9964523708025941,-2.1145746085493813,1.7915186849967875,0.8712247097156822,160,10,,0.8712247097156821,
ind_bienestar,,,,,,160,10,Singular matrix,,
ind_gobernabilidad,2.5763500755639286,0.5109713441700149,1.5748462409906994,3.577853910137158,4.60537872913933e-07,160,10,,6.908068093708995e-07,***
ind_estabilidad_macro,,,,,,160,10,Singular matrix,,
ind_desarrollo_humano,,,,,,160,10,Singular matrix,,
ind_estres_social,,,,,,160,10,Singular matrix,,
delta_iva_pp,,,,,,160,10,Singular matrix,,
delta_isr_pp,,,,,,160,10,Singular matrix,,
presup_salud,,,,,,160,10,Singular matrix,,
presup_educacion,,,,,,160,10,Singular matrix,,
presup_seguridad,,,,,,160,10,Singular matrix,,
presup_infraestructura,,,,,,160,10,Singular matrix,,
presup_agro_desarrollo_rural,,,,,,160,10,Singular matrix,,
presup_proteccion_social,,,,,,160,10,Singular matrix,,
presup_servicio_deuda,,,,,,160,10,Singular matrix,,
presup_justicia,,,,,,160,10,Singular matrix,,
presup_otros,,,,,,160,10,Singular matrix,,
